E122    E199    E290    E430    E500    E600    E700    E800    E900    L000    L122    L199    L290    L430    L500    L600    L700    L800    L900    L1000
74.4	75.0	74.9	74.4	78.8	73.3	73.2	78.6	74.7	127.1	124.7	125.0	116.4	94.5	93.9	83.9	103.9	108.7	111.7	114.3
80.5	81.4	81.1	80.0	80.5	81.2	80.2	81.2	81.9	128.0	124.8	123.1	116.5	88.5	87.0	83.2	102.5	108.3	109.9	114.0
108.5	74.6	77.6	78.7	78.3	78.2	76.2	77.3	78.7	128.1	125.3	115.5	124.4	104.4	108.4	108.3	104.3	108.7	111.1	114.3
82.0	79.7	78.8	77.5	78.1	74.9	79.0	79.8	78.8	127.3	124.2	123.8	106.9	94.1	87.4	83.0	104.8	110.6	111.3	118.2
86.4	80.2	78.2	76.5	80.5	78.7	80.9	79.4	80.1	126.6	124.6	119.6	115.8	100.2	94.9	84.5	107.9	111.8	108.1	113.9
82.6	78.4	78.2	74.8	78.4	77.7	79.0	79.5	81.0	126.6	125.0	122.4	111.2	91.7	87.5	85.3	87.9	104.8	111.3	113.8
80.2	80.2	79.3	79.4	80.6	82.4	79.4	79.9	81.1	127.0	124.6	118.6	112.4	91.1	87.6	84.0	93.7	103.3	108.9	114.6
81.8	80.4	82.8	79.5	81.1	83.5	83.4	82.6	83.3	127.8	125.5	117.8	115.9	98.4	88.2	82.4	107.3	119.3	111.5	113.4
81.1	80.5	79.2	79.1	80.1	79.1	80.6	76.8	79.6	127.7	126.4	125.2	112.2	91.6	89.6	88.6	104.4	112.3	110.2	114.2
81.1	81.5	81.2	81.3	81.6	80.5	80.0	80.2	80.3	128.0	127.5	118.1	107.0	92.2	88.2	89.1	105.1	110.3	112.8	113.7
